Marital_status,Application_mode,Previous_qualification_grade,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Status
2,7,130.0,130.0,0,0,1,0,0,39,6,0,0.0,6,6,0,0.0,0,0
1,39,129.0,155.3,1,0,1,0,0,27,6,5,13.0,11,13,10,12.9,0,0
1,17,141.0,139.8,1,0,1,0,0,18,8,8,14.935,8,8,8,14.935,0,1
1,1,125.0,114.9,0,0,1,0,0,18,7,6,13.133333333333333,8,12,7,12.221428571428572,0,1
1,44,130.0,131.9,0,0,1,0,1,21,6,6,12.0,6,7,6,12.0,0,1
4,42,133.1,126.0,1,0,1,1,0,29,7,5,11.9,8,10,5,11.0,0,0
1,1,139.0,128.2,1,0,1,1,1,19,0,0,0.0,0,0,0,0.0,0,1
1,44,130.0,130.0,1,0,1,1,0,23,6,6,12.571428571428571,6,7,6,12.428571428571429,0,1
1,1,125.0,120.1,0,1,1,1,0,19,5,5,11.2,5,10,4,10.75,3,0
1,17,150.0,130.8,0,0,1,1,0,24,7,7,11.975,8,8,8,13.75,0,1
1,1,141.0,135.8,1,0,1,1,0,19,0,0,0.0,0,0,0,0.0,0,0
1,17,118.0,111.7,1,0,1,1,0,18,6,3,11.666666666666666,6,12,1,12.0,0,0
1,1,142.0,132.9,1,0,1,1,0,18,6,6,12.333333333333334,6,11,3,12.333333333333334,0,1
1,17,120.0,115.5,1,1,1,1,0,18,5,3,10.333333333333334,5,11,3,10.857142857142858,0,0
1,18,106.0,106.0,1,0,1,1,1,21,6,4,10.5,6,11,1,11.0,0,0
1,17,121.0,120.3,1,1,1,1,1,19,6,6,13.666666666666666,6,6,6,13.333333333333334,0,1
1,17,150.0,130.8,0,0,1,1,1,22,7,7,14.842857142857142,8,9,8,15.055555555555555,0,1
2,39,120.0,117.0,0,0,1,1,0,33,6,6,12.0,6,6,6,11.666666666666666,0,1
1,1,114.0,110.2,1,0,1,1,0,20,6,5,12.2,6,7,5,12.2,0,0
1,39,140.0,155.7,1,0,1,1,0,35,1,0,0.0,5,0,0,0.0,0,0
1,39,160.0,180.4,0,1,1,1,0,24,12,6,12.166666666666666,12,14,10,13.3,0,0
2,39,130.0,110.0,1,0,1,0,0,33,6,6,11.0,6,11,5,11.0,0,1
1,42,160.0,161.0,1,0,1,0,1,22,8,7,13.08,8,8,7,13.08,0,1
1,39,120.0,100.0,0,0,1,0,1,25,5,4,10.5,5,7,5,11.6,0,1
1,17,124.0,117.6,1,0,1,1,0,20,6,6,10.666666666666666,6,6,5,11.2,0,1
1,39,133.1,100.8,0,0,1,1,0,24,7,0,0.0,7,7,0,0.0,0,0
1,17,133.1,105.0,1,0,0,0,0,21,6,6,14.0,6,6,6,13.5,0,1
1,15,133.1,100.0,0,0,1,0,0,26,6,2,12.0,6,6,0,0.0,0,0
2,39,133.1,115.5,0,0,1,0,0,39,6,3,12.666666666666666,6,14,0,0.0,1,0
2,39,133.1,114.0,0,0,1,0,0,44,8,8,11.875,6,7,6,12.333333333333334,0,1
1,1,135.0,124.9,1,0,1,0,0,18,6,6,13.666666666666666,6,6,6,13.333333333333334,0,1
1,1,132.0,120.3,1,0,1,0,1,18,7,7,13.75,8,9,8,14.47777777777778,0,1
1,1,115.0,111.5,1,1,0,0,0,19,7,4,11.96,7,7,0,0.0,0,0
1,53,130.0,128.8,0,0,1,0,0,21,10,8,12.875,9,14,5,13.4,0,0
1,1,133.1,110.0,1,0,1,0,0,20,0,0,0.0,0,0,0,0.0,0,1
2,39,130.0,113.5,1,0,1,0,0,36,6,0,0.0,6,0,0,0.0,0,0
4,39,133.1,160.0,0,0,1,0,0,43,18,18,14.63157894736842,13,14,13,14.23076923076923,1,1
1,18,123.0,117.4,1,0,1,0,0,19,6,0,0.0,6,0,0,0.0,0,0
1,51,130.0,122.2,0,1,1,0,0,20,10,10,13.0,11,11,11,12.272727272727272,0,1
1,1,122.0,118.2,1,0,1,0,0,19,6,0,0.0,6,0,0,0.0,0,0
1,1,113.0,106.7,1,0,1,0,0,20,6,4,14.2,6,17,4,13.25,0,0
1,1,111.0,108.2,1,0,1,0,0,20,7,6,13.266666666666666,7,10,5,12.3,0,0
1,1,142.0,136.1,1,0,1,0,0,18,6,6,13.857142857142858,6,6,6,15.0,0,1
1,1,131.0,139.8,1,0,1,0,0,19,5,5,13.4,5,5,5,12.8,0,1
1,1,158.0,157.0,1,0,1,0,0,18,6,6,12.666666666666666,6,7,6,12.571428571428571,0,1
1,17,122.0,131.0,1,0,1,0,0,18,7,6,12.516666666666666,7,7,6,12.516666666666666,1,0
1,1,140.0,137.0,0,0,1,0,0,18,5,5,13.142857142857142,5,6,5,11.4,0,1
1,1,127.0,121.8,0,0,1,0,0,18,5,5,12.6,5,5,5,14.0,0,1
1,17,133.1,131.0,1,0,1,0,0,21,6,3,11.0,6,12,2,11.0,0,0
1,1,120.0,118.6,1,0,1,0,0,19,5,5,10.8,5,9,4,11.25,2,1
1,1,137.0,122.3,0,0,1,0,0,19,0,0,0.0,0,0,0,0.0,0,0
1,1,131.0,127.9,0,0,1,0,1,19,5,5,12.8,5,5,5,14.2,0,1
1,1,130.0,121.3,1,0,1,0,0,19,6,6,14.166666666666666,6,13,6,12.2,0,1
1,17,122.0,117.1,1,0,1,0,0,19,7,5,12.1,7,0,0,0.0,0,0
1,44,160.0,160.0,1,0,1,0,0,20,6,6,14.166666666666666,6,17,5,13.77777777777778,0,1
1,17,131.0,122.6,1,0,1,0,0,18,6,6,13.0,6,6,6,13.666666666666666,0,1
1,17,132.0,128.0,1,0,1,0,0,19,7,7,13.467142857142855,8,9,8,15.011111111111113,0,1
1,1,138.0,124.9,1,0,1,0,1,18,7,7,13.2375,8,9,7,13.742857142857144,0,0
1,17,130.0,123.7,1,0,1,0,0,18,6,6,12.333333333333334,6,6,6,13.0,0,1
1,1,126.0,120.1,1,0,1,0,0,19,5,5,12.4,5,5,5,14.6,0,1
1,17,148.0,131.7,1,0,1,0,0,19,7,5,14.0,7,7,0,0.0,0,0
1,43,130.0,133.2,0,0,1,0,0,20,9,9,11.666666666666666,7,8,7,11.714285714285714,0,1
1,1,117.0,109.3,0,1,0,0,1,19,6,5,12.0,6,9,4,12.5,0,0
1,17,120.0,113.0,1,0,1,0,0,20,5,4,12.2,5,5,4,11.5,0,1
1,1,153.0,157.9,0,1,1,0,1,18,6,6,14.833333333333334,6,6,6,14.833333333333334,0,1
1,18,178.0,174.7,0,0,1,0,0,18,7,7,17.125,8,8,8,17.5875,0,1
1,1,129.0,128.8,1,0,1,0,0,19,7,6,12.666666666666666,7,7,6,12.666666666666666,0,1
1,1,116.0,110.1,1,0,1,0,1,19,6,6,12.666666666666666,6,10,5,12.0,0,1
1,1,135.0,121.0,1,0,1,0,1,19,6,6,11.333333333333334,6,6,6,11.5,0,1
1,1,141.0,131.7,1,0,1,0,1,19,7,7,13.605,8,11,8,12.33125,0,1
1,17,132.0,119.1,1,0,1,0,1,19,6,5,12.0,6,9,5,10.8,0,1
1,1,132.0,124.7,1,0,1,0,0,19,5,0,0.0,5,10,0,0.0,0,0
1,17,113.0,117.2,1,0,1,0,0,20,6,5,11.2,6,12,3,11.666666666666666,0,0
1,1,134.0,128.8,0,0,1,0,0,18,5,5,13.375,5,9,5,14.166666666666666,0,1
1,1,136.0,131.5,0,0,1,0,1,20,7,6,13.863333333333337,8,9,7,14.178571428571429,0,1
1,1,129.0,123.4,0,0,1,0,0,19,5,5,12.4,5,6,5,13.4,0,1
1,1,137.0,132.8,1,0,1,0,0,18,6,6,13.333333333333334,6,8,5,11.8,0,1
1,43,115.0,108.7,1,0,1,0,0,21,6,3,12.666666666666666,6,12,3,10.0,0,0
1,1,129.0,138.1,0,0,1,0,0,19,6,6,12.0,6,10,4,11.5,0,0
1,1,131.0,126.5,0,0,1,0,1,18,5,5,10.6,5,5,5,11.8,0,1
1,17,133.0,127.4,1,0,1,0,1,18,6,6,12.25,6,7,6,11.857142857142858,0,1
1,1,125.0,123.6,1,0,1,0,0,20,6,4,11.0,6,9,6,11.833333333333334,0,1
1,39,120.0,122.0,0,0,1,0,1,24,6,5,11.0,6,9,5,12.6,0,1
1,1,128.0,118.2,0,0,1,0,0,19,6,6,13.166666666666666,6,9,6,13.0,0,0
1,1,127.0,123.9,1,0,1,0,1,18,7,7,12.855555555555554,8,12,7,12.761111111111113,0,1
1,1,134.0,125.8,1,0,1,0,0,18,7,7,14.91875,8,8,8,15.355,0,1
1,17,132.0,123.3,1,0,1,0,0,21,6,4,11.5,6,10,3,11.0,0,0
1,17,124.0,124.4,0,0,1,0,0,19,5,5,14.2,5,5,5,14.2,0,1
1,17,133.1,126.0,0,0,1,0,1,19,6,6,12.5,6,7,6,13.0,0,1
1,17,125.0,121.5,0,0,1,0,0,19,6,5,11.666666666666666,6,12,4,11.0,0,1
1,39,130.0,130.0,0,0,1,0,0,29,8,7,14.257142857142856,8,8,7,14.257142857142856,0,1
1,43,125.0,117.0,1,0,1,0,0,21,6,3,12.0,6,12,2,11.333333333333334,0,0
1,17,133.1,108.0,0,0,1,0,0,20,7,7,12.457142857142856,8,8,8,13.5625,0,1
1,17,131.0,132.3,1,0,1,0,0,19,7,6,11.683333333333332,7,7,6,11.683333333333332,0,1
1,42,150.0,148.0,0,0,1,0,0,26,6,3,11.666666666666666,6,8,5,12.0,0,1
1,17,125.0,122.6,1,1,0,0,0,20,6,4,11.75,6,6,6,13.166666666666666,0,0
1,39,130.0,102.5,0,0,1,0,0,27,6,5,13.2,6,10,5,12.0,0,1
1,1,123.0,113.3,1,0,1,0,0,20,7,4,11.95,7,8,4,11.95,0,0
1,1,141.0,133.0,1,0,1,0,0,18,6,5,12.4,6,12,5,10.4,0,0
1,7,140.0,140.0,0,0,1,0,0,33,7,6,14.35,8,10,6,14.583333333333334,0,0
1,43,140.0,128.3,1,0,1,0,0,35,21,21,12.61904761904762,19,19,19,12.789473684210526,0,1
1,39,133.1,104.0,0,1,0,0,0,27,6,5,12.0,6,6,0,0.0,0,0
1,18,131.0,122.3,1,0,0,0,0,19,6,6,12.166666666666666,6,6,0,0.0,0,0
1,17,143.0,135.0,0,0,1,0,0,20,6,0,0.0,6,0,0,0.0,0,0
1,18,132.0,119.1,1,1,0,0,0,20,5,3,10.0,5,9,3,10.571428571428571,0,0
1,17,141.0,129.0,1,0,1,0,1,18,7,6,13.05,7,7,6,13.05,0,1
1,39,133.1,162.3,1,0,1,0,0,24,6,2,11.0,6,6,0,0.0,0,0
1,17,148.0,163.4,1,0,1,0,0,20,6,6,11.5,6,6,6,12.0,0,1
1,1,125.0,121.5,0,0,1,0,1,21,6,6,12.0,6,6,6,12.5,0,1
1,39,140.0,118.0,1,0,1,0,0,24,5,0,0.0,5,5,0,0.0,0,0
1,51,139.0,134.0,0,0,1,0,0,21,6,0,0.0,6,0,0,0.0,0,0
1,1,142.0,129.8,1,0,1,0,0,18,8,7,12.242857142857144,8,8,7,12.242857142857144,0,1
1,39,130.0,152.0,1,0,1,0,0,27,5,0,0.0,5,0,0,0.0,0,0
1,18,126.0,122.8,1,0,1,0,0,18,8,8,12.93375,8,8,8,12.93375,0,1
1,7,150.0,150.0,0,0,1,0,0,35,5,0,0.0,5,0,0,0.0,0,0
1,1,130.0,131.8,0,0,1,0,0,18,7,7,12.571428571428571,7,8,7,14.428571428571429,0,1
1,1,138.0,132.1,1,0,1,0,0,19,5,4,13.75,5,13,4,14.333333333333334,2,1
1,1,127.0,127.4,1,0,1,0,0,20,6,6,11.166666666666666,6,6,6,11.333333333333334,0,1
1,1,140.0,129.5,1,0,1,0,0,18,8,7,12.324285714285711,8,8,7,12.324285714285711,0,1
1,44,130.0,126.7,0,1,1,0,0,21,6,6,12.166666666666666,6,7,6,11.714285714285714,0,1
1,17,128.0,116.5,0,0,1,0,1,18,6,5,11.142857142857142,6,11,4,11.25,0,1
1,1,132.0,119.1,1,0,1,0,0,18,6,4,11.0,6,9,4,10.75,0,1
1,1,149.0,126.5,1,0,1,0,0,18,8,7,12.914285714285713,8,8,7,12.914285714285713,0,1
1,1,155.0,149.8,1,0,1,0,1,18,6,6,13.833333333333334,6,6,6,14.166666666666666,0,1
1,1,120.0,115.1,1,0,1,0,0,19,6,6,13.857142857142858,6,9,5,13.4,0,1
1,39,133.1,124.5,0,0,1,0,1,36,6,6,13.714285714285714,6,6,5,12.8,0,0
1,1,131.0,128.3,1,0,1,0,1,18,8,7,12.642857142857142,8,8,7,12.642857142857142,0,1
1,1,149.0,136.0,0,0,1,0,1,18,7,6,12.916666666666666,7,7,6,12.916666666666666,0,1
1,43,140.0,140.0,1,0,1,0,1,20,6,6,15.625,6,8,6,15.857142857142858,0,1
1,39,133.1,126.3,0,0,1,0,1,26,5,0,0.0,5,8,0,0.0,0,0
1,43,122.0,126.9,0,0,1,0,0,21,6,6,11.714285714285714,6,7,6,12.0,0,1
1,18,121.0,115.8,1,0,1,0,1,19,5,5,11.6,5,5,5,11.6,0,1
1,39,120.0,100.0,1,0,1,0,0,24,6,1,10.0,6,6,0,0.0,6,0
1,39,133.1,102.5,0,0,1,0,1,27,6,1,10.0,6,13,0,0.0,0,0
1,17,121.0,131.5,0,0,1,0,0,21,5,0,0.0,5,9,2,13.5,0,0
1,1,133.0,147.0,0,0,1,0,1,18,5,4,13.0,5,8,3,12.333333333333334,0,1
2,1,134.0,122.5,0,0,1,0,1,19,6,6,13.333333333333334,6,6,6,14.5,0,1
1,1,115.0,117.5,1,0,1,0,0,18,6,4,11.25,6,13,2,12.5,0,0
1,51,127.0,150.0,0,0,1,0,1,19,7,5,13.85,8,9,7,12.19285714285714,0,1
1,18,135.0,127.5,1,0,1,0,1,19,7,6,13.741666666666667,8,9,7,14.9125,0,1
2,7,140.0,140.0,0,0,1,0,0,33,6,6,15.333333333333334,5,5,5,15.8,0,1
2,7,130.0,130.0,0,0,1,0,0,45,5,5,11.0,5,5,5,13.8,0,1
1,1,135.0,133.3,0,0,1,0,1,20,6,6,12.0,6,7,6,12.857142857142858,0,1
1,39,140.0,97.0,1,0,1,0,0,28,5,0,0.0,5,5,0,0.0,0,0
1,43,120.0,112.0,1,0,1,0,1,19,8,7,11.571428571428571,8,15,7,11.571428571428571,0,1
1,1,140.0,123.6,1,0,1,0,0,18,6,6,12.857142857142858,6,6,3,12.666666666666666,0,1
1,39,133.1,130.5,0,0,1,0,0,38,6,0,0.0,6,0,0,0.0,0,0
1,1,135.0,133.3,0,0,1,0,0,19,5,5,13.0,5,5,5,13.2,0,1
1,1,123.0,132.1,0,0,1,0,1,21,6,5,11.0,6,8,5,12.0,0,1
1,1,133.1,100.0,0,0,1,0,0,21,5,3,12.0,5,12,1,15.0,3,0
1,1,154.0,140.4,0,0,1,0,1,22,6,5,12.6,6,6,6,13.0,0,1
1,1,148.0,141.7,0,0,1,0,1,18,6,5,13.4,6,7,6,13.166666666666666,0,1
1,17,133.0,119.7,0,0,1,0,1,18,6,6,11.333333333333334,6,9,6,11.571428571428571,0,1
1,1,126.0,122.5,1,0,0,0,0,25,5,4,13.5,5,10,4,14.25,0,0
1,39,133.1,140.0,0,1,0,0,0,24,6,3,11.75,6,14,3,10.333333333333334,0,0
1,1,118.0,119.1,1,0,1,0,1,20,5,5,11.6,5,5,5,13.6,0,1
1,39,120.0,122.7,0,0,0,0,0,25,5,0,0.0,5,9,0,0.0,0,0
1,1,127.0,117.9,0,0,1,0,1,20,10,9,12.9,10,12,10,12.363636363636363,0,1
1,7,130.0,130.0,0,0,1,0,0,23,8,8,13.22,8,8,8,13.22,0,1
1,17,129.0,120.0,1,0,1,0,1,19,8,7,13.151428571428571,8,8,7,13.151428571428571,0,1
1,44,130.0,130.0,0,1,0,0,0,29,6,3,12.75,6,8,3,11.333333333333334,0,0
1,1,121.0,116.8,1,0,1,0,0,21,6,6,11.333333333333334,6,8,4,12.25,0,1
1,1,136.0,123.4,1,0,1,0,1,18,6,6,13.25,6,13,5,14.142857142857142,0,1
1,1,131.0,127.2,1,0,1,0,1,18,6,6,15.0,6,6,6,12.833333333333334,0,0
1,1,122.0,103.4,0,0,1,0,0,19,5,5,14.4,5,6,5,13.0,0,1
1,17,136.0,124.1,0,0,1,0,0,18,5,5,12.4,5,6,5,10.8,0,1
2,39,133.1,99.5,1,1,0,0,1,37,7,1,16.0,7,12,0,0.0,0,0
1,17,127.0,124.9,0,0,1,0,0,29,5,5,13.571428571428571,5,14,5,12.333333333333334,3,1
1,1,121.0,118.9,1,0,1,0,1,19,6,5,11.666666666666666,6,9,5,12.666666666666666,0,1
1,43,124.0,118.8,1,1,0,0,0,22,10,6,11.833333333333334,7,8,2,13.0,0,0
1,1,131.0,137.0,0,0,1,0,1,20,6,6,11.166666666666666,6,10,5,10.6,0,1
1,39,100.0,100.0,0,0,1,0,0,34,6,0,0.0,6,0,0,0.0,0,0
1,43,130.0,120.0,0,1,0,0,0,30,12,8,11.75,12,19,6,12.166666666666666,2,0
1,1,135.0,122.8,0,0,1,0,0,18,6,6,14.0,6,7,6,14.0,0,1
1,1,130.0,121.6,0,0,1,0,0,18,6,6,12.833333333333334,6,6,6,12.0,0,1
1,1,146.0,149.2,1,0,1,0,0,18,6,4,12.25,6,10,3,11.666666666666666,0,1
1,17,146.0,140.0,1,0,1,0,0,18,8,7,14.828571428571427,8,8,7,14.828571428571427,0,1
1,1,154.0,133.4,1,0,1,0,1,19,6,5,11.4,6,8,5,12.8,0,1
1,1,137.0,126.2,1,0,1,0,1,19,6,6,13.0,6,8,6,12.5,0,1
1,1,151.0,127.8,0,0,1,0,1,18,8,7,13.671428571428573,8,8,7,13.671428571428573,0,1
1,44,150.0,150.0,0,0,1,0,1,21,6,6,12.666666666666666,6,8,5,12.8,0,1
1,1,121.0,113.7,1,0,0,0,0,20,5,2,10.0,5,12,1,13.0,0,0
1,17,122.0,117.8,1,0,1,0,0,20,5,5,13.5,5,8,5,12.333333333333334,0,1
1,1,143.0,136.7,0,0,1,0,0,19,7,7,12.67,8,8,8,13.55,0,1
1,1,152.0,144.7,0,0,1,0,0,20,6,6,14.5,6,7,6,15.428571428571429,0,1
1,17,145.0,139.8,1,0,1,0,0,18,7,7,13.685714285714283,8,8,8,15.3875,0,1
1,42,120.0,113.7,0,0,1,0,0,20,6,5,11.0,6,10,3,10.666666666666666,0,0
2,7,140.0,140.0,0,1,0,0,0,29,9,7,11.555555555555555,7,12,5,13.2,2,0
1,1,129.0,119.6,1,0,1,0,1,20,7,7,14.00375,8,11,7,13.812857142857142,0,1
1,16,139.0,123.7,1,0,1,0,1,22,5,4,12.0,5,8,4,11.4,2,1
4,1,133.1,143.0,1,0,1,0,1,47,6,5,14.166666666666666,6,7,6,14.166666666666666,0,1
2,51,127.0,100.1,0,0,1,0,0,31,5,5,14.0,5,5,5,13.8,0,1
1,1,126.0,119.4,0,0,1,0,1,21,6,5,13.8,6,6,6,12.833333333333334,0,1
1,1,128.0,122.1,0,0,1,0,0,21,6,5,12.8,6,10,6,11.857142857142858,0,1
2,39,100.0,100.0,0,0,1,0,0,24,6,6,12.166666666666666,6,6,6,13.833333333333334,0,1
1,39,170.0,101.0,0,0,1,0,0,32,6,4,12.0,6,12,4,11.5,0,1
1,18,117.0,111.8,1,0,1,0,1,19,6,6,10.833333333333334,6,9,6,11.5,0,1
1,39,140.0,140.0,1,0,1,0,0,24,8,8,13.385,8,8,8,13.385,0,1
1,17,123.0,124.4,1,0,1,0,0,19,6,6,15.666666666666666,6,9,6,14.5,0,1
1,44,150.0,150.0,0,1,1,0,1,19,6,6,14.333333333333334,6,7,6,13.833333333333334,0,1
1,17,123.0,116.0,1,0,1,0,1,18,6,6,11.666666666666666,6,8,6,11.666666666666666,0,1
1,1,130.0,135.6,1,0,1,0,1,19,6,5,12.0,6,10,2,11.333333333333334,0,0
2,1,137.0,121.0,0,0,1,0,1,19,8,7,14.725714285714288,8,8,7,14.725714285714288,0,1
1,17,126.0,118.7,1,0,1,0,1,18,6,6,14.166666666666666,6,6,6,13.666666666666666,0,1
1,1,125.0,125.7,1,0,1,0,0,18,6,6,11.571428571428571,6,8,6,12.333333333333334,0,1
1,17,112.0,107.1,1,0,1,0,0,20,7,7,12.5,8,8,8,13.1375,0,1
1,1,141.0,125.5,0,0,1,0,0,18,8,8,12.86,8,10,8,12.86,2,1
1,17,135.0,127.0,1,0,1,0,0,18,6,6,12.25,6,9,6,13.714285714285714,0,1
1,1,117.0,113.5,1,0,1,0,1,21,5,4,12.0,5,5,5,12.2,0,1
1,1,160.0,154.4,0,0,1,0,1,18,7,7,15.116666666666667,8,9,8,16.168888888888887,0,1
1,51,136.0,122.0,0,1,0,0,0,18,5,2,12.5,5,6,4,10.25,0,0
1,17,143.0,128.0,1,0,1,0,0,19,6,0,0.0,6,0,0,0.0,0,0
1,17,120.0,117.2,1,0,1,0,0,18,6,6,11.875,6,11,4,14.6,0,1
1,39,150.0,150.0,1,0,1,0,0,34,5,1,11.0,5,5,0,0.0,0,0
1,1,142.0,155.3,0,0,1,0,0,19,5,5,15.2,5,6,5,13.2,0,1
1,44,120.0,120.0,1,1,0,0,0,19,6,5,11.6,6,12,2,11.0,0,0
1,51,160.0,116.1,0,1,1,0,0,26,6,6,14.833333333333334,6,7,6,15.142857142857142,0,1
1,17,133.1,118.9,1,0,1,0,0,21,6,3,11.333333333333334,6,10,3,11.333333333333334,0,0
1,17,142.0,127.3,0,0,1,0,1,18,5,5,11.2,5,5,5,11.8,0,1
1,17,121.0,113.7,1,0,1,0,1,20,6,5,13.4,6,9,5,13.666666666666666,0,1
1,51,135.0,118.5,0,0,1,0,0,25,5,2,10.5,5,5,0,0.0,0,0
1,1,153.0,146.7,0,0,1,0,0,18,5,5,16.2,5,5,5,16.4,0,1
1,1,140.0,124.3,1,0,1,0,1,18,7,7,14.542857142857144,8,11,8,14.88181818181818,0,1
1,1,152.0,137.8,0,0,1,0,0,19,7,7,13.694285714285714,8,9,8,14.355555555555554,0,1
1,1,120.0,130.2,0,0,1,0,1,18,6,6,11.285714285714286,6,10,6,11.857142857142858,0,1
1,7,150.0,150.0,0,1,0,0,0,26,3,0,0.0,6,0,0,0.0,0,0
1,42,100.0,100.0,1,0,1,0,1,19,8,7,13.058571428571428,8,8,7,13.058571428571428,0,1
1,1,150.0,155.6,0,0,1,0,0,19,7,7,14.3,8,9,8,14.055555555555555,0,1
1,43,124.0,117.4,0,0,1,0,0,19,10,5,11.8,10,14,8,12.0,0,1
1,1,121.0,117.5,1,0,1,0,0,18,6,6,10.571428571428571,6,11,3,11.666666666666666,0,1
1,43,134.0,120.4,1,0,1,0,0,19,7,6,13.333333333333334,7,7,6,13.333333333333334,0,1
